X,Y,L
-174590.8541154385,744083.5483311189,n295
-174554.37561073224,744083.3637627574,n296
-174536.70062899825,744083.1488669239,n297
-174493.56690034922,744083.7464281076,n298
-174581.87598031387,744079.8898166826,n299
-174581.92825938636,744083.5222514421,n300
-174539.4720134873,744056.9247957479,n301
-174539.49010111994,744050.6532509056,n302
-174539.39150906767,744043.2958971263,n303
-174537.05831855838,744043.6074238493,n304
-174438.48660006837,744002.7468480156,n305
-174452.7872167137,743995.1615351039,n306
-174469.46445393376,743987.0089867567,n307
-174485.4900723288,743985.5762030025,n308
-174495.58996804748,743984.6732109324,n309
-174517.3033875183,743975.0880786605,n310
-174443.99036808326,744054.2335083149,n311
-174450.01567219914,744042.1903683678,n312
-174450.7623741613,744032.5439460992,n313
-174471.19757722341,744009.2058330193,n314
-174487.14110723042,744005.7183376581,n315
-174499.49081397426,744003.0169533994,n316
-174553.87757368534,744005.588054806,n317
-174620.62702865814,744000.4763295503,n318
-174414.89942083182,744108.4821758331,n319
-174377.49028580927,744118.2022668932,n320
-174355.18958306723,744123.6849699517,n321
-174393.62344284862,744008.0141194959,n322
-174360.76837382806,744017.325389938,n323
-174330.07266213073,744025.6780987883,n324
-174319.64622280904,744028.473596129,n325
-174290.02480462636,744036.4155660296,n326
-174264.73556215028,744040.1395295167,n327
-174257.9018140173,744041.1458299193,n328
-174231.3026233682,744041.5503796437,n329
-174209.27363810388,744035.9379274934,n330
-174167.16750694867,744012.6579785317,n331
-174137.23319182673,744006.2987029429,n332
-174113.18490895574,743994.6499379993,n333
-174073.2214830057,743976.2005175047,n334
-174261.77439349724,744031.8769786785,n335
-174363.16593440596,743975.36101436,n336
-174358.65285578783,743961.5985698504,n337
-174363.9920315987,743938.2163648822,n338
-174386.5924981024,743911.8694752278,n339
-174392.4394344822,743878.5989782899,n340
-174449.97101985305,743870.8071266072,n341
-174448.0888608628,743858.7409042579,n342
-174476.91343695336,743834.462515627,n343
-174484.3776324181,743822.0014932049,n344
-174497.50379387874,743810.9685088642,n345
-174471.64699523753,743874.1871904344,n346
-174473.29232325527,743885.2878661753,n347
-174484.55512780746,743885.0795729661,n348
-174497.1032674158,743896.4967637797,n349
-174346.5649778184,743791.084961481,n350
-174326.66443167132,743795.247991908,n351
-174279.6810400917,743801.3820868093,n352
-174373.58815057247,743726.7598956706,n353
-174353.43895956478,743734.0579879303,n354
-174345.6179374436,743745.613373699,n355
-174348.91446279315,743765.7643708737,n356
-174333.69415013146,743767.2877405448,n357
-174466.4142044926,743819.1750255921,n358
-174476.565906499,743808.5097296798,n359
-174448.55249691274,743822.6204192112,n360
-174428.77627185427,743825.2159595373,n361
-174477.1522885954,744623.5410343194,n362
-174365.63457150117,744572.5589574436,n363
-174357.72355395867,744573.7418820941,n364
-174370.21596639062,744562.6824589473,n365
-174198.8973181163,744671.4598670902,n366
-174202.80642139117,744656.6286906686,n367
-174152.67485740277,744653.2252912057,n368
-174151.21061290757,744637.4530224697,n369
-174148.46564306025,744679.3850565573,n370
-174155.11818900742,744699.0638034693,n371
-174164.75483525213,744732.6836277195,n372
-174229.9604706975,744754.4617962762,n373
-174227.62649259955,744774.3554463333,n374
-174228.66823961327,744799.4080186003,n375
-174229.28337267085,744814.2011382305,n376
-174230.31497504518,744839.009819223,n377
-174231.47471441844,744869.2338012082,n378
-174162.6617327407,744824.8811090635,n379
-174187.05437797998,744821.1534464288,n380
-174144.33021639546,744824.9479583771,n381
-174118.22945479825,744818.599729824,n382
-174109.90663638635,744819.115730785,n383
-174109.52825217036,744803.0156347117,n384
-174116.4912827994,744798.2116968888,n385
-174130.63357536632,744796.6852596949,n386
-174139.74413477644,744795.0234529034,n387
-174160.00763229732,744789.7760786645,n388
-174159.69496523766,744773.6135502234,n389
-174156.63815214954,744753.4628833781,n390
-174322.51933847665,744815.3390895718,n391
-174289.80494351787,744813.6454974604,n392
-174444.2974370658,744798.5691924961,n393
-174420.3396417448,744796.9311383407,n394
-174428.91684833402,743776.4911215677,n395
-174435.41081831107,743776.1567995542,n396
-174393.34894720957,744518.0043776283,n397
-174323.60919676506,744521.177241073,n398
-174291.9136387417,744762.3412231434,n399
-174246.69029630022,744769.6472627367,n400
-174246.7300393634,744838.756411035,n401
-174290.61736785425,744826.341668466,n402
-174317.94787838781,744863.2075652557,n403
-174311.08164648316,744875.9720342694,n404
-174276.58423995387,744872.9763245654,n405
-174288.76524836928,744803.9029351838,n406
-174504.4045737756,744812.0121229202,n407
-174528.99505918525,744843.494721172,n408
-174555.4117528554,744844.311948371,n409
-174579.31959852335,744843.6433079343,n410
-174585.5548237053,744843.7176013158,n411
-174589.90841288553,744841.9345601887,n412
-174590.88600274717,744820.1047176293,n413
-174589.1647089277,744793.8068571595,n414
-174578.4710175814,744787.180367133,n415
-174664.02532417836,744760.0139246711,n416
-174542.7767268667,744614.1144493357,n417
-174566.74811831262,744569.4989845343,n418
-174559.42188567668,744575.6286092388,n419
-174565.48179251637,744593.1346060173,n420
-174573.3160755629,744618.5456780806,n421
-174576.1515236724,744632.4239924769,n422
-174557.45051417695,744635.9875722121,n423
-174538.50918468463,744639.7916601613,n424
-174518.72569299134,744644.7993668272,n425
-174663.6814976267,744441.7858212385,n426
-174290.68739161445,744449.8313751857,n427
-174451.75030798255,743938.5855950101,n428
-174295.07884047276,744669.3957331625,n429
-174293.0739573499,744687.0270972127,n430
-174308.4286716733,744683.6486951453,n431
-174209.98208841137,744806.1143719378,n432
-174199.34526958776,744817.6616647174,n433
-174205.01710230214,744762.1981159468,n434
-174290.8306524696,744046.3013988235,n435
-174300.5044788403,744051.7485933925,n436
-174310.77750541913,744057.5331869301,n437
-174326.96248473998,744076.7517722229,n438
-174348.62149759603,744101.984740688,n439
-174383.54854779746,744205.7645946507,n440
-174407.02706995033,744187.6029407763,n441
-174368.6961088082,744210.6021629797,n442
-174339.57795998827,744219.3968906625,n443
-174326.49234530365,744219.299781641,n444
-174311.18070578465,744221.3132257788,n445
-174294.35629697825,744221.2051638883,n446
-174281.9239943305,744217.4050800656,n447
-174264.97034618817,744221.5895830938,n448
-174247.97913926034,744157.9100804413,n449
-174242.008739046,744135.9976854235,n450
-174228.6719490703,744087.0493659656,n451
-174253.6129533266,744118.7313952697,n452
-174274.46670634844,744099.1507640885,n453
-174286.67271959246,744080.162292771,n454
-174206.88415970936,745031.5504057438,n455
-174336.00344400483,745172.409171921,n456
-174291.14585332858,745147.3450829227,n457
-174287.57663722246,745146.4357217117,n458
-174268.90211990417,745153.5387972299,n459
-174268.21786279342,745153.7990624371,n460
-174254.42306089244,745145.2267288273,n461
-174253.8661912153,745145.7980613428,n462
-174244.82807352685,745139.6632748002,n463
-174239.0395936956,745150.3146659537,n464
-174240.4122473127,745137.1977768636,n465
-174233.7702864331,745133.4893554955,n466
-174233.7402946267,745146.4907742597,n467
-174239.4383640652,745149.5808880682,n468
-174232.8728526559,745135.106815672,n469
-174238.86949233955,745128.031094275,n470
-174235.5488200028,745122.4387282968,n471
-174233.57820840605,745121.297499991,n472
-174232.58367788975,745123.6555345174,n473
-174207.1196503154,745104.6139586469,n474
-174216.56802264132,745088.7679338017,n475
-174229.49684807868,745115.1222434604,n476
-174227.97357711912,745117.7634803714,n477
-174266.57632783402,745086.4083413368,n478
-174275.3930470385,745109.6634612947,n479
-174284.1519024675,745115.5409278505,n480
-174251.98817809322,745158.2297139661,n481
-174260.75339226154,745163.5187754927,n482
-174300.01512424604,745105.2662263334,n483
-174231.08889751206,745061.2938956894,n484
-174207.11787184674,745050.4199268383,n485
-174188.69704838848,745049.6089384727,n486
-174174.51147750358,745046.9179532374,n487
-174160.51280304775,745044.6059956164,n488
-174151.78168190445,745040.9847983153,n489
-174149.54470371408,745034.4494113585,n490
-174148.62858517756,745026.2147286491,n491
-174150.25388970395,745016.7574344347,n492
-174152.22913397825,745017.2023513302,n493
-174175.82084605886,745037.6059628954,n494
-174229.44129644567,745044.4808275558,n495
-174230.6892284774,745041.340586856,n496
-174166.37992864486,744884.8564403153,n497
-174166.3019270987,744888.0819644881,n498
-174168.24724623116,744911.3796595556,n499
-174203.59351222825,744952.8084360157,n500
-174177.46240960073,744952.9210485485,n501
-174164.83477670074,744963.4789285176,n502
-174152.49577503014,745005.3622281072,n503
-174155.15693827337,744995.2456314598,n504
-174159.4971349444,744989.5811278113,n505
-174160.3505820855,744988.8371186347,n506
-174160.39871328737,744986.6032244108,n507
-174160.26730680093,744983.2911192954,n508
-174160.74012884963,744966.0715669377,n509
-174157.86613834693,744952.2958519283,n510
-174155.34334218214,744947.0843248098,n511
-174155.27317432518,744938.8521364216,n512
-174156.31834535836,744934.9757622954,n513
-174156.3261505794,744932.2791016795,n514
-174158.59654228715,744932.3647460657,n515
-174248.8156476918,745013.1697276522,n516
-174205.40271439363,744767.88059313,n517
-174440.71349720273,744912.1763783906,n518
-174433.58251148064,744942.1001735918,n519
-174422.77196904246,744908.1497855234,n520
-174413.3304121136,744906.418970183,n521
-174411.28465175853,744914.5563955058,n522
-174408.3368632924,744900.8472086823,n523
-174389.43857812902,744879.7606473964,n524
-174409.09790108932,744894.2282415811,n525
-174410.6313919112,744877.5215129782,n526
-174411.0888139371,744868.9426927621,n527
-174411.98607717606,744819.0639981539,n528
-174412.25209260237,744894.7542220302,n529
-174418.49044000867,744852.7758052768,n530
-174497.46114368548,744887.8610818444,n531
-174399.85718866988,744853.0233164974,n532
-174648.8984100842,744542.8200951437,n533
-174652.1358499408,744553.7122112782,n534
-174641.38846587393,744542.2202252274,n535
-174525.86388778078,743972.953143098,n536
-174495.57214999,744151.9987007971,n537
-174350.9968439149,744123.21481569,n538
-174400.804672576,744163.642076986,n539
-174402.2793553211,744163.804222774,n540
-174325.09714798795,743768.2791815455,n541
