X,Y,L
-174304.86428356753,744589.3681460156,n2618
-174304.04914771477,744591.1944958018,n2619
-174303.234011862,744593.020845588,n2620
-174302.4188760092,744594.8471953742,n2621
-174301.60374015642,744596.6735451603,n2622
-174300.78860430364,744598.4998949466,n2623
-174299.9051892546,744600.4792274473,n1760
-174297.92737390805,744600.776290496,n2029
-174295.9495585615,744601.0733535447,n2030
-174293.97174321493,744601.3704165935,n2031
-174291.99392786837,744601.6674796422,n2032
-174290.01611252181,744601.9645426909,n2033
-174288.03829717526,744602.2616057396,n2034
-174286.0604818287,744602.5586687884,n2035
-174284.08266648214,744602.8557318371,n2036
-174282.10485113558,744603.1527948858,n2037
-174280.12703578902,744603.4498579345,n2038
-174277.4025085418,744603.8590752924,n2008
-174276.3633104069,744605.5678957149,n2039
-174275.324112272,744607.2767161374,n2040
-174274.2849141371,744608.98553656,n2041
-174272.213891905,744612.3910517999,n2042
-174271.0517844121,744614.0187821753,n2043
-174269.88967691918,744615.6465125507,n2044
-174268.7275694263,744617.274242926,n2045
-174267.56546193338,744618.9019733014,n2046
-174265.73270686896,744621.4690603456,n2047
-174264.2211544797,744622.778720368,n2048
-174262.7096020904,744624.0883803905,n2049
-174259.8164781997,744626.5950806058,n1853
-174257.96565554498,744627.353009033,n1854
-174256.11483289028,744628.1109374602,n1855
-174254.26401023555,744628.8688658875,n1856
-174252.41318758082,744629.6267943147,n1857
-174250.56236492613,744630.3847227419,n1858
-174248.7115422714,744631.1426511691,n1859
-174246.8607196167,744631.9005795964,n1860
-174245.00989696197,744632.6585080236,n1861
-174243.15907430724,744633.4164364508,n1862
-174241.30825165255,744634.174364878,n1863
-174239.45742899782,744634.9322933053,n1864
-174236.71778313382,744636.0542027846,n1865
-174237.84485863833,744639.2717141141,n1892
-174238.50605415055,744641.1592576221,n1891
-174239.16724966277,744643.04680113,n1890
-174239.82844517496,744644.9343446381,n1889
-174240.48964068718,744646.8218881461,n1888
-174241.1508361994,744648.7094316542,n1887
-174241.81203171163,744650.5969751622,n1886
-174242.47322722382,744652.4845186701,n1885
-174243.13442273604,744654.3720621782,n1884
-174243.79561824826,744656.2596056862,n1883
-174244.45681376048,744658.1471491941,n1882
-174245.11800927267,744660.0346927022,n1880
-174245.7792047849,744661.9222362102,n1881
